symbol,cluster
A,146
AA,144
AACG,117
AAIC,37
AAL,110
AAMC,145
AAME,169
AAN,69
AAOI,153
AAON,108
AAP,171
AAPL,138
AAT,136
AAU,13
AAWW,108
AB,1
ABB,17
ABBV,22
ABC,9
ABCB,1
ABCL,13
ABCM,133
ABEO,162
ABEV,19
ABG,152
ABM,40
ABMD,160
ABNB,81
ABR,80
ABST,28
ABT,22
ABTX,127
ABUS,178
ACA,108
ACAD,58
ACB,178
ACBI,62
ACC,37
ACCD,178
ACCO,161
ACEL,26
ACER,146
ACET,160
ACGL,10
ACGLO,50
ACGLP,50
ACH,92
ACHC,9
ACHV,133
ACI,43
ACIU,22
ACIW,85
ACLS,5
ACM,31
ACMR,153
ACN,46
ACNB,1
ACOR,45
ACR,74
ACRS,122
ACRX,34
ACST,13
ACTG,78
ACY,78
ADAG,34
ADAP,178
ADBE,85
ADC,80
ADCT,160
ADES,0
ADI,85
ADIL,35
ADM,19
ADMA,3
ADMP,3
ADMS,52
ADN,32
ADNT,29
ADP,31
ADPT,181
ADS,1
ADT,17
ADTN,99
ADTX,9
ADUS,35
ADV,91
ADVM,45
ADXN,71
ADXS,35
AE,174
AEE,166
AEGN,161
AEHL,31
AEHR,85
AEIS,38
AEL,107
AEMD,22
AEO,152
AEP,166
AEPPZ,172
AER,67
AERI,73
AES,172
AESE,68
AEY,28
AEYE,46
AFBI,10
AFG,167
AFI,17
AFIB,181
AFL,10
AFMD,44
AFRM,153
AFYA,117
AGCO,130
AGE,146
AGEN,34
AGFS,117
AGFY,108
AGI,25
AGIO,73
AGLE,73
AGM,198
AGMH,28
AGNC,131
AGNCM,131
AGNCN,131
AGNCO,131
AGNCP,131
AGO,50
AGR,66
AGRX,13
AGS,171
AGX,17
AGYS,85
AHC,91
AHCO,52
AHH,80
AHPI,35
AI,56
AIG,167
AIH,71
AIHS,50
AIKI,128
AIM,73
AIMC,118
AIN,151
AINC,198
AIR,17
AIRG,5
AIRI,118
AIRT,31
AIRTP,38
AIT,31
AIV,136
AIW,79
AIZ,1
AJG,188
AJRD,0
AKAM,97
AKBA,35
AKER,71
AKR,80
AKRO,71
AKTS,85
AKTX,160
AKU,71
AKUS,146
AL,17
ALB,41
ALBO,71
ALC,22
ALCO,19
ALDX,22
ALE,32
ALEC,128
ALEX,131
ALG,17
ALGN,3
ALGS,178
ALGT,118
ALIM,115
ALJJ,17
ALK,31
ALKS,71
ALL,10
ALLE,31
ALLK,146
ALLO,73
ALLT,46
ALLY,167
ALNA,22
ALNY,22
ALOT,15
ALRM,165
ALRN,160
ALRS,198
ALSK,30
ALSN,171
ALT,71
ALTA,169
ALTG,67
ALTR,165
ALUS,137
ALV,26
ALVR,13
ALX,7
ALXN,22
ALXO,34
ALYA,187
AM,14
AMAL,50
AMAT,5
AMBC,10
AMBO,59
AMC,68
AMCR,26
AMCX,72
AMD,85
AME,118
AMED,3
AMEH,128
AMG,10
AMGN,9
AMH,80
AMHC,86
AMHCU,191
AMK,86
AMKR,97
AMN,71
AMNB,127
AMOT,15
AMP,188
AMPE,71
AMPG,5
AMPH,71
AMPY,63
AMR,193
AMRC,109
AMRK,16
AMRN,45
AMRS,197
AMRX,6
AMS,22
AMSC,118
AMSF,49
AMST,116
AMSWA,187
AMT,80
AMTB,1
AMTBB,198
AMTX,12
AMWD,129
AMWL,178
AMZN,151
AN,69
ANAB,181
ANAT,62
ANDE,43
ANET,97
ANGI,48
ANGO,35
ANIK,22
ANIP,52
ANIX,115
ANNX,35
ANPC,22
ANSS,5
ANTE,72
