symbol,sector,fullTimeEmployees,trailingAnnualDividendYield,payoutRatio,averageDailyVolume10Day,trailingAnnualDividendRate,averageVolume10days,dividendRate,beta,priceHint,trailingPE,regularMarketVolume,marketCap,averageVolume,priceToSalesTrailing12Months,forwardPE,fiveYearAvgDividendYield,dividendYield,enterpriseToRevenue,profitMargins,enterpriseToEbitda,forwardEps,bookValue,sharesPercentSharesOut,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,priceToBook,heldPercentInsiders,shortRatio,enterpriseValue,earningsQuarterlyGrowth,pegRatio,shortPercentOfFloat,increment
A,Healthcare,16400,0.0060441373,0.2823,2103533,0.734,2103533,0.78,1.010834,2,47.762806,1226982,37794738176,1764571,6.8344917,28.580645,0.85,0.0064,6.935,0.14647001,26.338,4.34,15.756,0.0078,0.90072,810000000,2.597,0.194,7.8725567,0.00322,1.36,38348468224,0.462,3.0,0.0078,-0.022306311734756622
AA,Basic Materials,12900,0.011424945,0.0,6533883,0.36,6533883,0.0,2.654205,2,0.0,4453720,5781262336,6287968,0.6225783,15.52,0.0,0.0,0.923,-0.01831,8.373,2.0,17.803,0.0546,0.76917,-170000000,-0.914,0.09,1.7435265,0.0054699997,1.54,8573785088,0.0,0.06,0.061100002,0.3419802006814504
AAA,0,0,0.0,0.0,5400,0.0,5400,0.0,0.0,2,0.0,53,0,1826,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0011927978496672122
AAAU,0,0,0.0,0.0,585316,0.0,585316,0.0,0.0,2,0.0,386921,0,736701,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.029295800437389965
AACG,Consumer Defensive,768,0.0,0.0,462266,0.0,462266,0.0,1.279503,4,0.0,190807,146093328,6006270,0,0.0,0.0,0.0,0.0,-0.6697,0.0,0.0,0.0,0.0052,0.00041,0,0.0,6.0,0.0,0.0,0.01,153892672,0.0,0.0,0.0,-0.17667844999275478
AACQ,0,0,0.0,0.0,2745633,0.0,2745633,0.0,0.0,2,0.0,1848700,959056832,2584186,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.197727249575055
AADR,0,0,0.0,0.0,4450,0.0,4450,0.0,0.0,2,0.0,3877,0,7056,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.029980375136677475
AAIC,Real Estate,12,0.0,0.0,185350,0.0,185350,0.0,1.862405,4,0.0,202591,141968272,208398,-2.57651,0.0,0.0,0.0,0.464,0.0,0.0,0.0,0.0,0.026099999,0.36341,-70707000,0.0,0.225,0.0,0.028570002,4.09,-25579660,-0.582,-0.99,0.0301,0.06516290472225938
AAL,Industrials,102700,0.00427899,0.0,46737633,0.1,46737633,0.0,1.858071,2,0.0,94133688,16100645888,59127918,0.928687,228.81818,1.27,0.0,2.832,-0.51249003,-5.615,0.11,-11.049,0.119399995,0.45415002,-8885000192,-18.362,0.1,0.0,0.00934,1.13,49106223104,0.0,0.04,0.1587,0.34743038892349165
AAMC,Financial Services,112,0.0,0.0,50300,0.0,50300,0.0,0.622426,2,0.8017552,8977,40044656,15001,0,0.0,0.0,0.0,0.0,0.0,-9.849,0.0,-100.943,0.0018000001,0.15385,-14762000,24.384,0.0,0.0,0.62759995,0.25,198525776,0.0,0.0,0.0038,-0.20528459618289924
AAME,Financial Services,151,0.004576659,0.0,102983,0.02,102983,0.0,0.278981,4,73.27586,102973,86760776,2198431,0.4622188,0.0,0.0,0.0,0.637,0.00848,23.584,0.0,6.268,0.0064999997,0.05524,1192000,0.058,0.02,0.67804724,0.80026,0.02,119498400,0.0,0.0,0.0328,-0.08405169778183363
AAN,Consumer Cyclical,9400,0.00472627,0.0,353566,0.12,353566,0.4,0.0,2,0.0,615126,906429824,506438,0.5224623,11.572053,0.0,0.015800001,0.618,-0.15326999,1.393,2.29,20.796,0.0183,0.0,-265912000,-7.85,0.045,1.2742835,0.0,1.68,1072128704,-0.86,-0.89,0.023599999,0.25177137007545697
AAOI,Technology,2682,0.0,0.0,774766,0.0,774766,0.0,1.767063,2,0.0,595708,241365280,837620,1.0287366,-82.181816,0.0,0.0,1.494,-0.24913,-14.536,-0.11,11.067,0.1374,0.48945,-58452000,-2.673,0.0,0.81684285,0.05365,4.41,350456960,0.0,-1.35,0.17969999,-0.2650406649048245
AAON,Industrials,2268,0.005076142,0.255,218066,0.38,218066,0.38,0.639219,2,50.33557,164274,3921524992,190343,7.621256,52.083332,0.71,0.0050999997,7.457,0.15355,31.166,1.44,6.718,0.0557,0.72853994,79009000,1.49,0.0,11.164037,0.20908001,15.85,3836782592,0.094,4.35,0.0836,-0.025974025974025976
AAP,Consumer Cyclical,40000,0.0055685486,0.1401,1032550,1.0,1032550,1.0,1.330985,2,25.469189,961582,11915612160,1057600,1.1790257,16.382883,0.24,0.0056,1.419,0.048779998,13.662,11.1,54.079,0.0572,1.02282,493020992,7.14,0.0,3.3626733,0.0037099998,2.97,14344981504,0.168,1.21,0.0677,0.09561399436368007
